Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:83029900


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
83029900;2;01/05/2023;;1;1;"9,45";"2,97";"4,9";5;25;1;1;1;;;"6,9412";"6,3792";"6,3792";"6,9412";"9,4504";"7,8329";"6,3792";"5,843";"7,8329";"5,3322";"4,3865";"3,9511";"3,7426";"3,9511";"3,9511";"3,9511";"3,9511";"4,1657";"3,9511";"3,7426";"3,7426";"3,9511";"3,5403";"3,154";"2,9699";"3,5403";"3,5403";"3,7426";"5,0863";"4,8468";"4,8468";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/04/2023;;1;1;"151,21";"5,33";"24,74";19;6;1;1;1;;;"9,7938";"7,8329";"7,232";"6,657";"5,843";"5,3322";"31,1288";"17,6107";"18,0915";"16,6703";"12,3859";"10,8642";"10,1439";"29,8421";"32,4451";"24,4156";"78,6865";"106,0425";"151,2141";"32,4451";"23,8491";"18,5793";"14,8734";"14,0167";"11,9952";"10,8642";"9,7938";"9,1137";"7,5292";"6,9412";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83029900;2;01/03/2023;;1;1;"128,05";"7,23";"24,9";9;30;1;1;1;;;"12,3859";"11,6114";"29,2099";"42,5552";"27,3572";"23,2898";"44,1243";"41,777";"128,0456";"72,2311";"42,5552";"29,8421";"25,5704";"22,7378";"19,0741";"15,7579";"13,5987";"12,7833";"10,1439";"8,7836";"10,1439";"18,0915";"13,1876";"16,6703";"14,4416";"14,0167";"10,8642";"9,1137";"8,1432";"7,232";"16,6703";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/02/2023;;1;1;"64,17";"8,46";"22,18";4;19;1;1;1;;;"26,7543";"31,7833";"29,8421";"64,1733";"30,4818";"21,1248";"16,6703";"13,5987";"11,2344";"23,8491";"25,5704";"15,3122";"12,3859";"10,5007";"16,2106";"22,7378";"16,6703";"10,5007";"8,4601";"9,1137";"26,1587";"32,4451";"21,6553";"31,7833";"33,7912";"21,6553";"21,1248";"15,3122";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
83029900;2;01/01/2023;;1;1;"100,99";"8,46";"30,67";18;28;1;1;1;;;"14,4416";"11,9952";"11,6114";"78,6865";"47,3115";"25,5704";"18,5793";"14,8734";"12,3859";"10,8642";"16,2106";"12,7833";"12,7833";"11,9952";"70,4165";"58,959";"67,7201";"100,9855";"72,2311";"37,2871";"33,7912";"26,7543";"29,8421";"27,9674";"17,6107";"14,4416";"10,8642";"8,4601";"8,4601";"35,1671";"29,8421";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/12/2022;;1;1;"121,64";"8,46";"28,61";5;18;1;1;1;;;"31,1288";"37,2871";"48,9291";"75,9002";"121,6363";"65,0548";"48,1183";"29,2099";"21,1248";"19,5761";"17,137";"16,2106";"17,6107";"13,5987";"11,2344";"9,4504";"8,7836";"8,4601";"15,3122";"17,6107";"20,6014";"14,8734";"11,6114";"10,5007";"9,4504";"31,7833";"19,0741";"58,1025";"36,5729";"23,8491";"17,137";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/11/2022;;1;1;"22,74";"2,62";"7,52";30;20;1;1;1;;;"21,1248";"14,0167";"10,8642";"9,1137";"7,5292";"6,9412";"6,657";"5,843";"6,9412";"5,843";"5,3322";"5,0863";"5,0863";"10,8642";"6,657";"5,0863";"4,6135";"3,7426";"3,3441";"2,6197";"2,9699";"3,9511";"4,6135";"4,3865";"3,3441";"2,6197";"4,3865";"15,7579";"13,5987";"22,7378";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83029900;2;01/10/2022;;1;1;"138,94";"7,83";"42,23";14;5;1;1;1;;;"11,2344";"11,2344";"9,4504";"8,1432";"7,8329";"23,2898";"46,5086";"24,4156";"17,6107";"46,5086";"106,0425";"133,4594";"71,3221";"138,938";"95,0134";"96,9923";"78,6865";"47,3115";"40,2331";"64,1733";"53,8759";"39,4748";"27,3572";"21,6553";"17,6107";"14,4416";"12,3859";"10,8642";"10,1439";"10,5007";"12,3859";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/09/2022;;1;1;"57,25";"5,33";"12,79";13;11;1;1;1;;;"6,657";"6,9412";"8,1432";"6,657";"5,843";"6,1079";"10,8642";"9,7938";"7,232";"6,3792";"5,3322";"38,0088";"57,2498";"27,9674";"19,5761";"14,8734";"11,9952";"10,5007";"9,7938";"10,8642";"8,7836";"8,7836";"7,5292";"6,657";"6,657";"21,1248";"13,5987";"10,5007";"9,7938";"9,4504";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83029900;2;01/08/2022;;1;1;"131,29";"2,79";"26,48";11;5;1;1;1;;;"3,154";"2,9699";"3,154";"3,3441";"2,7918";"2,9699";"27,9674";"31,7833";"18,0915";"108,0854";"131,286";"51,3851";"27,9674";"20,0852";"16,6703";"14,8734";"14,8734";"116,3693";"58,959";"31,7833";"20,0852";"19,5761";"16,6703";"13,5987";"11,6114";"10,5007";"8,7836";"8,1432";"8,1432";"7,232";"7,8329";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/07/2022;;1;1;"9,11";"1,58";"5,17";1;31;1;1;1;;;"9,1137";"9,1137";"7,8329";"7,232";"7,232";"6,9412";"6,657";"6,1079";"5,5844";"3,7426";"5,3322";"3,3441";"6,3792";"5,0863";"4,8468";"4,6135";"5,0863";"5,5844";"5,3322";"5,0863";"4,3865";"4,3865";"4,3865";"4,1657";"3,9511";"3,7426";"3,9511";"3,3441";"3,5403";"2,6197";"1,5794";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/06/2022;;1;1;"67,72";"8,14";"21,61";22;21;1;1;1;;;"15,3122";"52,2116";"36,5729";"23,8491";"20,0852";"15,7579";"36,5729";"42,5552";"32,4451";"22,7378";"15,3122";"15,7579";"14,4416";"12,7833";"10,1439";"9,7938";"10,8642";"17,137";"11,6114";"8,7836";"8,1432";"67,7201";"31,1288";"26,7543";"20,6014";"19,0741";"14,8734";"12,7833";"11,6114";"10,8642";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83029900;2;01/05/2022;;1;1;"237,23";"3,74";"29,55";4;25;1;1;1;;;"10,1439";"8,1432";"117,4172";"237,2304";"156,8932";"64,1733";"41,777";"28,585";"21,6553";"18,5793";"11,6114";"11,2344";"11,6114";"8,7836";"8,7836";"8,1432";"7,5292";"6,3792";"6,3792";"6,3792";"6,3792";"5,843";"5,5844";"4,8468";"3,7426";"4,8468";"4,3865";"4,6135";"9,7938";"55,5554";"19,0741";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/04/2022;;1;1;"39,47";"6,38";"12,76";9;30;1;1;1;;;"11,9952";"11,6114";"10,8642";"10,1439";"16,2106";"9,1137";"7,5292";"10,1439";"39,4748";"17,6107";"14,8734";"23,8491";"26,1587";"23,8491";"17,6107";"12,3859";"12,3859";"9,7938";"10,1439";"9,7938";"7,5292";"8,1432";"7,232";"11,6114";"6,9412";"6,657";"7,8329";"7,5292";"7,5292";"6,3792";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83029900;2;01/03/2022;;1;1;"94,03";"6,11";"30,5";25;1;1;1;1;;;"6,1079";"36,5729";"14,4416";"9,4504";"46,5086";"17,137";"15,3122";"10,1439";"14,4416";"15,7579";"23,2898";"14,8734";"48,1183";"37,2871";"32,4451";"63,2953";"48,9291";"35,1671";"60,6827";"40,2331";"29,8421";"26,7543";"22,7378";"47,3115";"94,0285";"40,2331";"28,585";"22,1929";"18,0915";"13,1876";"12,3859";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/02/2022;;1;1;"21,66";"3,74";"7,77";1;28;;1;1;;;"21,6553";"15,7579";"11,6114";"11,6114";"17,137";"13,1876";"9,4504";"7,5292";"6,9412";"6,657";"5,843";"5,0863";"5,3322";"5,3322";"4,6135";"4,1657";"4,1657";"5,3322";"4,3865";"4,8468";"4,1657";"9,7938";"8,4601";"5,3322";"5,0863";"6,1079";"4,1657";"3,7426";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
83029900;2;01/01/2022;;1;1;"85,3";"1,11";"15,14";28;15;1;1;1;;;"2,7918";"1,4538";"2,7918";"6,3792";"25,5704";"46,5086";"16,6703";"11,6114";"6,3792";"6,9412";"6,9412";"4,1657";"3,7426";"2,1389";"1,1108";"4,3865";"11,6114";"16,2106";"26,7543";"9,7938";"6,3792";"4,3865";"1,1108";"2,4535";"4,3865";"3,7426";"2,4535";"85,3004";"69,5143";"43,3377";"32,4451";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/12/2021;;1;1;"9,79";"1,11";"4,31";2;26;1;1;1;;;"8,1432";"9,7938";"8,1432";"5,0863";"4,6135";"3,9511";"3,9511";"3,9511";"3,3441";"4,1657";"4,3865";"4,8468";"4,3865";"3,5403";"6,3792";"3,154";"6,9412";"4,3865";"1,3339";"1,2196";"1,7107";"4,6135";"9,4504";"5,3322";"2,2933";"1,1108";"2,6197";"3,7426";"3,3441";"2,4535";"1,3339";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/11/2021;;1;1;"29,21";"3,34";"9,72";14;28;1;1;1;;;"13,5987";"14,0167";"12,3859";"12,7833";"10,5007";"9,7938";"9,1137";"8,4601";"7,8329";"6,9412";"6,1079";"6,3792";"17,137";"29,2099";"19,0741";"15,3122";"11,6114";"9,7938";"8,1432";"7,8329";"9,7938";"7,8329";"6,3792";"6,1079";"5,0863";"4,1657";"4,1657";"3,3441";"4,6135";"3,9511";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83029900;2;01/10/2021;;1;1;"90,12";"9,79";"22,63";13;23;1;1;1;;;"11,9952";"24,4156";"18,0915";"17,137";"21,1248";"21,1248";"21,1248";"18,5793";"15,3122";"23,8491";"49,7439";"44,1243";"90,1187";"54,7137";"36,5729";"26,7543";"20,6014";"17,137";"22,1929";"14,8734";"12,3859";"10,1439";"9,7938";"9,7938";"10,1439";"10,1439";"10,5007";"15,7579";"11,2344";"11,9952";"20,0852";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/09/2021;;1;1;"61,55";"2,79";"14,55";13;8;1;1;1;;;"5,843";"3,7426";"3,7426";"10,5007";"6,3792";"4,3865";"3,7426";"2,7918";"9,7938";"22,1929";"11,6114";"35,8662";"61,55";"29,2099";"32,4451";"23,8491";"17,137";"13,1876";"10,8642";"9,4504";"8,1432";"7,8329";"6,657";"10,1439";"8,7836";"18,0915";"19,0741";"13,1876";"13,1876";"13,1876";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83029900;2;01/08/2021;;1;1;"6,66";"1,71";"2,8";10;21;1;1;1;;;"2,4535";"2,4535";"2,4535";"2,1389";"2,2933";"2,1389";"2,7918";"2,6197";"4,8468";"6,657";"5,5844";"4,1657";"3,3441";"2,7918";"2,6197";"2,2933";"2,2933";"1,8476";"2,2933";"1,9904";"1,7107";"1,9904";"1,8476";"2,9699";"3,154";"2,9699";"2,2933";"2,1389";"1,7107";"1,7107";"4,1657";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/07/2021;;1;1;"9,11";"2,29";"4,52";1;27;1;1;1;;;"9,1137";"8,1432";"7,5292";"6,9412";"6,657";"6,1079";"5,3322";"5,0863";"5,0863";"5,0863";"6,1079";"5,3322";"4,6135";"4,1657";"3,9511";"3,7426";"3,5403";"3,5403";"3,5403";"3,154";"3,3441";"3,5403";"4,6135";"3,3441";"3,154";"2,6197";"2,2933";"2,7918";"2,6197";"2,6197";"2,4535";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/06/2021;;1;1;"58,1";"2,79";"18,92";24;1;1;;1;;;"2,7918";"7,232";"15,7579";"44,1243";"23,8491";"21,6553";"14,4416";"10,8642";"8,4601";"7,5292";"6,657";"6,1079";"5,5844";"13,1876";"56,4007";"33,7912";"22,7378";"16,6703";"13,5987";"12,3859";"10,5007";"9,1137";"41,0029";"58,1025";"31,7833";"21,6553";"16,6703";"13,5987";"11,6114";"9,7938";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83029900;2;01/05/2021;;1;1;"10,86";"2,14";"4,28";8;6;1;1;1;;;"2,4535";"6,657";"4,1657";"2,4535";"2,2933";"2,1389";"7,5292";"10,8642";"5,843";"4,6135";"4,1657";"3,7426";"3,154";"2,9699";"2,7918";"2,6197";"5,5844";"6,9412";"4,3865";"3,5403";"2,7918";"2,4535";"2,4535";"5,3322";"8,1432";"4,8468";"3,9511";"3,5403";"3,5403";"3,5403";"3,154";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/04/2021;;1;1;"4,85";"1,99";"2,87";1;25;;1;1;;;"4,8468";"4,6135";"4,6135";"4,1657";"3,9511";"3,7426";"3,5403";"3,154";"3,154";"2,9699";"2,7918";"2,6197";"2,9699";"2,4535";"2,6197";"2,4535";"2,4535";"2,6197";"2,9699";"2,4535";"2,2933";"2,2933";"2,1389";"2,1389";"1,9904";"1,9904";"1,9904";"1,9904";"1,9904";"2,1389";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83029900;2;01/03/2021;;1;1;"19,07";"4,85";"9,19";19;31;1;1;1;;;"13,1876";"10,1439";"8,1432";"8,4601";"7,232";"6,1079";"5,0863";"5,3322";"13,1876";"11,9952";"7,8329";"6,9412";"8,1432";"6,657";"5,5844";"5,3322";"6,1079";"14,8734";"19,0741";"12,7833";"9,7938";"14,0167";"19,0741";"12,3859";"10,5007";"8,4601";"6,3792";"6,1079";"5,5844";"5,5844";"4,8468";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/02/2021;;1;1;"21,66";"3,95";"9,23";10;18;1;1;1;;;"10,8642";"9,1137";"7,8329";"7,232";"6,3792";"6,1079";"6,3792";"6,1079";"5,5844";"21,6553";"11,2344";"8,1432";"6,3792";"5,5844";"5,0863";"4,3865";"4,1657";"3,9511";"10,1439";"6,3792";"5,3322";"5,0863";"5,3322";"13,5987";"17,6107";"17,6107";"20,6014";"20,6014";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
83029900;2;01/01/2021;;1;1;"114,28";"5,58";"31,37";16;7;1;1;1;;;"10,5007";"9,4504";"6,3792";"13,1876";"8,4601";"6,657";"5,5844";"8,1432";"6,657";"6,657";"7,8329";"6,9412";"10,5007";"19,0741";"74,059";"114,2816";"107,0626";"86,2579";"53,0418";"101,9912";"71,3221";"50,5626";"33,7912";"26,1587";"24,4156";"22,1929";"18,5793";"15,3122";"16,6703";"17,137";"13,5987";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/12/2020;;1;1;"63,3";"2,14";"21,84";15;2;1;1;1;;;"3,154";"2,1389";"36,5729";"22,1929";"31,7833";"58,1025";"57,2498";"30,4818";"23,2898";"16,2106";"14,0167";"12,3859";"10,5007";"11,6114";"63,2953";"36,5729";"22,1929";"20,6014";"16,6703";"46,5086";"30,4818";"20,6014";"15,3122";"12,3859";"9,7938";"7,232";"6,9412";"6,3792";"10,5007";"14,8734";"6,9412";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/11/2020;;1;1;"8,46";"0,91";"3,01";16;10;1;1;1;;;"2,2933";"1,5794";"1,4538";"1,1108";"1,0076";"1,0076";"1,8476";"1,8476";"1,9904";"0,9098";"3,154";"4,3865";"3,5403";"3,3441";"3,154";"8,4601";"3,154";"1,4538";"7,8329";"6,657";"4,3865";"3,9511";"3,9511";"2,7918";"0,9098";"1,5794";"2,7918";"4,6135";"1,9904";"3,154";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83029900;2;01/10/2020;;1;1;"7,23";"0,91";"3,1";8;24;1;1;1;;;"3,7426";"4,8468";"5,3322";"5,3322";"3,3441";"4,8468";"4,3865";"7,232";"5,843";"6,1079";"4,6135";"3,5403";"5,0863";"4,8468";"2,1389";"2,1389";"2,6197";"2,2933";"1,3339";"2,6197";"1,7107";"1,1108";"1,0076";"0,9098";"1,0076";"0,9098";"1,3339";"0,9098";"0,9098";"1,4538";"2,6197";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83029900;2;01/09/2020;;1;1;"6,11";"1,11";"3,35";8;24;1;1;1;;;"3,7426";"4,3865";"2,9699";"2,7918";"3,3441";"1,9904";"3,154";"6,1079";"5,3322";"4,6135";"3,154";"4,1657";"3,5403";"3,154";"2,6197";"2,9699";"1,9904";"4,1657";"3,3441";"2,7918";"3,154";"2,9699";"2,9699";"1,1108";"2,4535";"2,6197";"2,6197";"3,7426";"5,843";"2,7918";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83029900;2;01/08/2020;;1;1;"98,98";"1,85";"11,99";15;10;1;1;1;;;"3,9511";"3,3441";"2,6197";"2,4535";"2,7918";"2,6197";"2,4535";"2,4535";"2,2933";"1,8476";"2,4535";"2,4535";"9,4504";"8,4601";"98,9831";"29,8421";"18,0915";"17,137";"43,3377";"21,1248";"18,5793";"14,0167";"10,8642";"9,1137";"7,232";"7,5292";"5,843";"5,3322";"5,5844";"4,8468";"4,6135";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
